arch/ia64/sn/include/pci/pcibus_provider_defs.h,include/asm-ia64/sn/pcibus_provider_defs.h,arch/ia64/include/asm/sn/pcibus_provider_defs.h
arch/ia64/sn/include/pci/pcidev.h,include/asm-ia64/sn/pcidev.h,arch/ia64/include/asm/sn/pcidev.h
arch/um/kernel/sys_call_table.c,arch/um/sys-x86_64/sys_call_table.c
drivers/telephony/Makefile,drivers/staging/telephony/Makefile
drivers/telephony/ixj-ver.h,drivers/staging/telephony/ixj-ver.h
drivers/telephony/ixj.c,drivers/staging/telephony/ixj.c
drivers/telephony/ixj.h,drivers/staging/telephony/ixj.h
drivers/telephony/ixj_pcmcia.c,drivers/staging/telephony/ixj_pcmcia.c
drivers/telephony/phonedev.c,drivers/staging/telephony/phonedev.c
drivers/staging/hv/storvsc_drv.c,drivers/scsi/storvsc_drv.c
drivers/usb/gadget/f_audio.c,drivers/usb/gadget/f_uac1.c
drivers/usb/gadget/u_audio.c,drivers/usb/gadget/u_uac1.c
drivers/usb/gadget/u_audio.h,drivers/usb/gadget/u_uac1.h
drivers/pcmcia/sa1100_badge4.c,drivers/pcmcia/sa1111_badge4.c
drivers/pcmcia/sa1100_jornada720.c,drivers/pcmcia/sa1111_jornada720.c
drivers/pcmcia/pxa2xx_lubbock.c,drivers/pcmcia/sa1111_lubbock.c
drivers/pcmcia/sa1100_neponset.c,drivers/pcmcia/sa1111_neponset.c
kernel/uprobes.c,kernel/events/uprobes.c
arch/powerpc/kernel/perf_callchain.c,arch/powerpc/perf/callchain.c
arch/powerpc/kernel/perf_event_fsl_emb.c,arch/powerpc/perf/core-fsl-emb.c
arch/powerpc/kernel/e500-pmu.c,arch/powerpc/perf/e500-pmu.c
arch/powerpc/kernel/mpc7450-pmu.c,arch/powerpc/perf/mpc7450-pmu.c
arch/powerpc/kernel/power4-pmu.c,arch/powerpc/perf/power4-pmu.c
arch/powerpc/kernel/power5+-pmu.c,arch/powerpc/perf/power5+-pmu.c
arch/powerpc/kernel/power5-pmu.c,arch/powerpc/perf/power5-pmu.c
arch/powerpc/kernel/power6-pmu.c,arch/powerpc/perf/power6-pmu.c
arch/powerpc/kernel/power7-pmu.c,arch/powerpc/perf/power7-pmu.c
arch/powerpc/kernel/ppc970-pmu.c,arch/powerpc/perf/ppc970-pmu.c
arch/arm/mach-s3c2410/Makefile.boot,arch/arm/mach-s3c24xx/Makefile.boot
arch/arm/mach-s3c2410/bast-ide.c,arch/arm/mach-s3c24xx/bast-ide.c
arch/arm/mach-s3c2410/bast-irq.c,arch/arm/mach-s3c24xx/bast-irq.c
arch/arm/mach-s3c2410/common.h,arch/arm/mach-s3c24xx/common.h
arch/arm/mach-s3c2410/dma.c,arch/arm/mach-s3c24xx/dma-s3c2410.c
arch/arm/mach-s3c2410/h1940-bluetooth.c,arch/arm/mach-s3c24xx/h1940-bluetooth.c
arch/arm/mach-s3c2410/include/mach/gpio-fns.h,arch/arm/mach-s3c24xx/include/mach/gpio-fns.h
arch/arm/mach-s3c2410/include/mach/gpio-nrs.h,arch/arm/mach-s3c24xx/include/mach/gpio-nrs.h
arch/arm/mach-s3c2410/include/mach/regs-s3c2416-mem.h,arch/arm/mach-s3c24xx/include/mach/regs-s3c2416-mem.h
arch/arm/mach-s3c2410/include/mach/regs-s3c2416.h,arch/arm/mach-s3c24xx/include/mach/regs-s3c2416.h
arch/arm/mach-s3c2410/include/mach/tick.h,arch/arm/mach-s3c24xx/include/mach/tick.h
arch/arm/mach-s3c2410/include/mach/timex.h,arch/arm/mach-s3c24xx/include/mach/timex.h
arch/arm/mach-s3c2410/mach-amlm5900.c,arch/arm/mach-s3c24xx/mach-amlm5900.c
arch/arm/mach-s3c2410/mach-bast.c,arch/arm/mach-s3c24xx/mach-bast.c
arch/arm/mach-s3c2410/mach-h1940.c,arch/arm/mach-s3c24xx/mach-h1940.c
arch/arm/mach-s3c2410/mach-n30.c,arch/arm/mach-s3c24xx/mach-n30.c
arch/arm/mach-s3c2410/mach-otom.c,arch/arm/mach-s3c24xx/mach-otom.c
arch/arm/mach-s3c2410/mach-qt2410.c,arch/arm/mach-s3c24xx/mach-qt2410.c
arch/arm/mach-s3c2410/mach-smdk2410.c,arch/arm/mach-s3c24xx/mach-smdk2410.c
arch/arm/mach-s3c2410/mach-tct_hammer.c,arch/arm/mach-s3c24xx/mach-tct_hammer.c
arch/arm/mach-s3c2410/mach-vr1000.c,arch/arm/mach-s3c24xx/mach-vr1000.c
arch/arm/mach-s3c2410/nor-simtec.c,arch/arm/mach-s3c24xx/nor-simtec.c,arch/arm/mach-s3c24xx/simtec-nor.c
arch/arm/mach-s3c2410/nor-simtec.h,arch/arm/mach-s3c24xx/nor-simtec.h,arch/arm/mach-s3c24xx/simtec.h
arch/arm/mach-s3c2410/pm-h1940.S,arch/arm/mach-s3c24xx/pm-h1940.S
arch/arm/mach-s3c2410/pm.c,arch/arm/mach-s3c24xx/pm-s3c2410.c
arch/arm/mach-s3c2410/s3c2410.c,arch/arm/mach-s3c24xx/s3c2410.c
arch/arm/mach-s3c2410/sleep.S,arch/arm/mach-s3c24xx/sleep-s3c2410.S
arch/arm/mach-s3c2410/usb-simtec.c,arch/arm/mach-s3c24xx/usb-simtec.c,arch/arm/mach-s3c24xx/simtec-usb.c
arch/arm/mach-s3c2410/usb-simtec.h,arch/arm/mach-s3c24xx/usb-simtec.h
arch/arm/mach-s3c2412/mach-jive.c,arch/arm/mach-s3c24xx/mach-jive.c
arch/arm/mach-s3c2412/sleep.S,arch/arm/mach-s3c24xx/sleep-s3c2412.S
arch/arm/mach-s3c2416/clock.c,arch/arm/mach-s3c24xx/clock-s3c2416.c
arch/arm/mach-s3c2416/irq.c,arch/arm/mach-s3c24xx/irq-s3c2416.c
arch/arm/mach-s3c2416/mach-smdk2416.c,arch/arm/mach-s3c24xx/mach-smdk2416.c
arch/arm/mach-s3c2416/pm.c,arch/arm/mach-s3c24xx/pm-s3c2416.c
arch/arm/mach-s3c2416/s3c2416.c,arch/arm/mach-s3c24xx/s3c2416.c
arch/arm/mach-s3c2416/setup-sdhci-gpio.c,arch/arm/mach-s3c24xx/setup-sdhci-gpio.c
arch/arm/mach-s3c2440/mach-at2440evb.c,arch/arm/mach-s3c24xx/mach-at2440evb.c
arch/arm/mach-s3c2440/mach-mini2440.c,arch/arm/mach-s3c24xx/mach-mini2440.c
arch/arm/mach-s3c2440/mach-osiris-dvs.c,arch/arm/mach-s3c24xx/mach-osiris-dvs.c
arch/arm/mach-s3c2440/mach-rx1950.c,arch/arm/mach-s3c24xx/mach-rx1950.c
arch/arm/mach-s3c2443/clock.c,arch/arm/mach-s3c24xx/clock-s3c2443.c
arch/arm/mach-s3c2443/dma.c,arch/arm/mach-s3c24xx/dma-s3c2443.c
arch/arm/mach-s3c2443/irq.c,arch/arm/mach-s3c24xx/irq-s3c2443.c
arch/arm/mach-s3c2443/mach-smdk2443.c,arch/arm/mach-s3c24xx/mach-smdk2443.c
arch/arm/mach-s3c2443/s3c2443.c,arch/arm/mach-s3c24xx/s3c2443.c
arch/arm/plat-s3c24xx/s3c2443-clock.c,arch/arm/mach-s3c24xx/common-s3c2443.c
Documentation/devicetree/bindings/sound/soc/codecs/fsl-sgtl5000.txt,Documentation/devicetree/bindings/sound/sgtl5000.txt
arch/arm/plat-mxc/audmux-v2.c,arch/arm/plat-mxc/audmux.c,sound/soc/imx/imx-audmux.c,sound/soc/fsl/imx-audmux.c
arch/arm/plat-mxc/include/mach/audmux.h,sound/soc/imx/imx-audmux.h,sound/soc/fsl/imx-audmux.h
drivers/remoteproc/remoteproc_rpmsg.c,drivers/remoteproc/remoteproc_virtio.c
arch/arm/plat-s3c24xx/simtec-audio.c,arch/arm/mach-s3c24xx/simtec-audio.c
arch/arm/plat-s3c24xx/setup-i2c.c,arch/arm/mach-s3c24xx/setup-i2c.c
arch/arm/plat-s3c24xx/setup-ts.c,arch/arm/mach-s3c24xx/setup-ts.c
drivers/net/wireless/iwlwifi/iwl-ucode.h,drivers/net/wireless/iwlwifi/iwl-fw-file.h
arch/arm/plat-omap/mcbsp.c,sound/soc/omap/mcbsp.c
drivers/usb/host/ohci-pnx4008.c,drivers/usb/host/ohci-nxp.c
arch/arm/kernel/crunch-bits.S,arch/arm/mach-ep93xx/crunch-bits.S
arch/arm/kernel/crunch.c,arch/arm/mach-ep93xx/crunch.c
crypto/camellia.c,crypto/camellia_generic.c
arch/powerpc/platforms/86xx/gef_gpio.c,drivers/gpio/gpio-ge.c
arch/powerpc/platforms/86xx/gef_pic.c,arch/powerpc/sysdev/ge/ge_pic.c
arch/powerpc/platforms/86xx/gef_pic.h,arch/powerpc/sysdev/ge/ge_pic.h
include/linux/reiserfs_acl.h,fs/reiserfs/acl.h
arch/blackfin/kernel/bfin_dma_5xx.c,arch/blackfin/kernel/bfin_dma.c
arch/arm/common/time-acorn.c,arch/arm/mach-rpc/time.c
arch/arm/kernel/ecard.c,arch/arm/mach-rpc/ecard.c
arch/arm/kernel/ecard.h,arch/arm/mach-rpc/ecard.h
drivers/net/wireless/ath/ath6kl/htc.c,drivers/net/wireless/ath/ath6kl/htc_mbox.c
tools/perf/util/include/linux/module.h,tools/perf/util/include/linux/export.h
arch/arm/mach-mxs/include/mach/dma.h,include/linux/fsl/mxs-dma.h
Documentation/vm/page-types.c,tools/vm/page-types.c
Documentation/vm/hugepage-mmap.c,tools/testing/selftests/vm/hugepage-mmap.c
Documentation/vm/hugepage-shm.c,tools/testing/selftests/vm/hugepage-shm.c
Documentation/vm/map_hugetlb.c,tools/testing/selftests/vm/map_hugetlb.c
include/linux/ext3_fs.h,fs/ext3/ext3.h
sound/soc/imx/eukrea-tlv320.c,sound/soc/fsl/eukrea-tlv320.c
sound/soc/imx/imx-pcm-dma-mx2.c,sound/soc/fsl/imx-pcm-dma-mx2.c,sound/soc/fsl/imx-pcm-dma.c
sound/soc/imx/imx-pcm-fiq.c,sound/soc/fsl/imx-pcm-fiq.c
sound/soc/imx/imx-pcm.c,sound/soc/fsl/imx-pcm.c
sound/soc/imx/imx-pcm.h,sound/soc/fsl/imx-pcm.h
sound/soc/imx/imx-ssi.c,sound/soc/fsl/imx-ssi.c
sound/soc/imx/imx-ssi.h,sound/soc/fsl/imx-ssi.h
sound/soc/imx/mx27vis-aic32x4.c,sound/soc/fsl/mx27vis-aic32x4.c
sound/soc/imx/phycore-ac97.c,sound/soc/fsl/phycore-ac97.c
sound/soc/imx/wm1133-ev1.c,sound/soc/fsl/wm1133-ev1.c
sound/soc/tegra/tegra_das.c,sound/soc/tegra/tegra20_das.c
sound/soc/tegra/tegra_das.h,sound/soc/tegra/tegra20_das.h
sound/soc/tegra/tegra_i2s.c,sound/soc/tegra/tegra20_i2s.c
sound/soc/tegra/tegra_i2s.h,sound/soc/tegra/tegra20_i2s.h
sound/soc/tegra/tegra_spdif.c,sound/soc/tegra/tegra20_spdif.c
sound/soc/tegra/tegra_spdif.h,sound/soc/tegra/tegra20_spdif.h
drivers/of/gpio.c,drivers/gpio/gpiolib-of.c
arch/powerpc/kvm/e500_tlb.h,arch/powerpc/kvm/e500.h
tools/perf/util/ui/browser.c,tools/perf/ui/browser.c
tools/perf/util/ui/browser.h,tools/perf/ui/browser.h
tools/perf/util/ui/browsers/annotate.c,tools/perf/ui/browsers/annotate.c
tools/perf/util/ui/browsers/hists.c,tools/perf/ui/browsers/hists.c
tools/perf/util/ui/browsers/map.c,tools/perf/ui/browsers/map.c
tools/perf/util/ui/browsers/map.h,tools/perf/ui/browsers/map.h
tools/perf/util/ui/helpline.c,tools/perf/ui/helpline.c
tools/perf/util/ui/helpline.h,tools/perf/ui/helpline.h
tools/perf/util/ui/keysyms.h,tools/perf/ui/keysyms.h
tools/perf/util/ui/libslang.h,tools/perf/ui/libslang.h
tools/perf/util/ui/progress.c,tools/perf/ui/progress.c,tools/perf/ui/tui/progress.c
tools/perf/util/ui/progress.h,tools/perf/ui/progress.h
tools/perf/util/ui/setup.c,tools/perf/ui/setup.c
tools/perf/util/ui/ui.h,tools/perf/ui/ui.h
tools/perf/util/ui/util.h,tools/perf/ui/util.h
tools/perf/util/gtk/browser.c,tools/perf/ui/gtk/browser.c
tools/perf/util/gtk/gtk.h,tools/perf/ui/gtk/gtk.h
drivers/net/wireless/wl1251/Kconfig,drivers/net/wireless/ti/wl1251/Kconfig
drivers/net/wireless/wl1251/Makefile,drivers/net/wireless/ti/wl1251/Makefile
drivers/net/wireless/wl1251/wl12xx_80211.h,drivers/net/wireless/ti/wl1251/wl12xx_80211.h
drivers/net/wireless/wl12xx/Kconfig,drivers/net/wireless/ti/wl12xx/Kconfig,drivers/net/wireless/ti/wlcore/Kconfig
drivers/net/wireless/wl12xx/Makefile,drivers/net/wireless/ti/wl12xx/Makefile,drivers/net/wireless/ti/wlcore/Makefile
drivers/net/wireless/wl12xx/debug.h,drivers/net/wireless/ti/wl12xx/debug.h,drivers/net/wireless/ti/wlcore/debug.h
drivers/net/wireless/wl12xx/wl12xx_80211.h,drivers/net/wireless/ti/wl12xx/wl12xx_80211.h,drivers/net/wireless/ti/wlcore/wl12xx_80211.h
drivers/net/wireless/wl12xx/wl12xx_platform_data.c,drivers/net/wireless/ti/wl12xx/wl12xx_platform_data.c,drivers/net/wireless/ti/wlcore/wl12xx_platform_data.c,drivers/net/wireless/ti/wilink_platform_data.c
arch/arm/plat-omap/ocpi.c,arch/arm/mach-omap1/ocpi.c
drivers/net/wan/pc300-falc-lh.h,drivers/staging/net/pc300-falc-lh.h
drivers/net/wan/pc300.h,drivers/staging/net/pc300.h
drivers/net/wan/pc300_drv.c,drivers/staging/net/pc300_drv.c
drivers/net/wan/pc300_tty.c,drivers/staging/net/pc300_tty.c
Documentation/devicetree/bindings/pinmux/pinmux_nvidia.txt,"Documentation/devicetree/bindings/pinctrl/nvidia,tegra20-pinmux.txt"
drivers/net/wireless/iwlwifi/iwl-shared.h,drivers/net/wireless/iwlwifi/iwl-modparams.h
drivers/staging/iio/consumer.h,include/linux/iio/consumer.h
drivers/staging/iio/driver.h,include/linux/iio/driver.h
drivers/staging/iio/events.h,include/linux/iio/events.h
drivers/staging/iio/iio.h,include/linux/iio/iio.h
drivers/staging/iio/kfifo_buf.h,include/linux/iio/kfifo_buf.h
drivers/staging/iio/machine.h,include/linux/iio/machine.h
drivers/staging/iio/sysfs.h,include/linux/iio/sysfs.h
drivers/staging/iio/trigger.h,include/linux/iio/trigger.h
drivers/staging/iio/trigger_consumer.h,include/linux/iio/trigger_consumer.h
drivers/staging/iio/types.h,include/linux/iio/types.h
drivers/staging/iio/iio_core.h,drivers/iio/iio_core.h
drivers/staging/iio/industrialio-core.c,drivers/iio/industrialio-core.c
drivers/staging/iio/industrialio-event.c,drivers/iio/industrialio-event.c
drivers/staging/iio/industrialio-trigger.c,drivers/iio/industrialio-trigger.c
drivers/staging/iio/inkern.c,drivers/iio/inkern.c
drivers/staging/iio/kfifo_buf.c,drivers/iio/kfifo_buf.c
drivers/staging/vme/Kconfig,drivers/vme/Kconfig
drivers/staging/vme/boards/Kconfig,drivers/vme/boards/Kconfig
drivers/staging/vme/boards/Makefile,drivers/vme/boards/Makefile
drivers/staging/vme/boards/vme_vmivme7805.c,drivers/vme/boards/vme_vmivme7805.c
drivers/staging/vme/boards/vme_vmivme7805.h,drivers/vme/boards/vme_vmivme7805.h
drivers/staging/vme/bridges/Kconfig,drivers/vme/bridges/Kconfig
drivers/staging/vme/bridges/Makefile,drivers/vme/bridges/Makefile
drivers/staging/vme/bridges/vme_ca91cx42.c,drivers/vme/bridges/vme_ca91cx42.c
drivers/staging/vme/bridges/vme_ca91cx42.h,drivers/vme/bridges/vme_ca91cx42.h
drivers/staging/vme/bridges/vme_tsi148.c,drivers/vme/bridges/vme_tsi148.c
drivers/staging/vme/bridges/vme_tsi148.h,drivers/vme/bridges/vme_tsi148.h
drivers/staging/vme/vme.c,drivers/vme/vme.c
drivers/staging/vme/vme_api.txt,drivers/vme/vme_api.txt,Documentation/vme_api.txt
drivers/staging/vme/vme_bridge.h,drivers/vme/vme_bridge.h
drivers/staging/vme/vme.h,include/linux/vme.h
drivers/staging/iio/dds/Kconfig,drivers/staging/iio/frequency/Kconfig
drivers/staging/iio/dds/Makefile,drivers/staging/iio/frequency/Makefile
drivers/staging/iio/dds/ad5930.c,drivers/staging/iio/frequency/ad5930.c
drivers/staging/iio/dds/ad9832.c,drivers/staging/iio/frequency/ad9832.c
drivers/staging/iio/dds/ad9832.h,drivers/staging/iio/frequency/ad9832.h
drivers/staging/iio/dds/ad9834.c,drivers/staging/iio/frequency/ad9834.c
drivers/staging/iio/dds/ad9834.h,drivers/staging/iio/frequency/ad9834.h
drivers/staging/iio/dds/ad9850.c,drivers/staging/iio/frequency/ad9850.c
drivers/staging/iio/dds/ad9852.c,drivers/staging/iio/frequency/ad9852.c
drivers/staging/iio/dds/ad9910.c,drivers/staging/iio/frequency/ad9910.c
drivers/staging/iio/dds/ad9951.c,drivers/staging/iio/frequency/ad9951.c
drivers/staging/iio/dds/dds.h,drivers/staging/iio/frequency/dds.h
drivers/staging/mei/Kconfig,drivers/misc/mei/Kconfig
drivers/staging/mei/Makefile,drivers/misc/mei/Makefile
drivers/staging/mei/TODO,drivers/misc/mei/TODO
drivers/staging/mei/hw.h,drivers/misc/mei/hw.h
drivers/staging/mei/init.c,drivers/misc/mei/init.c
drivers/staging/mei/interface.c,drivers/misc/mei/interface.c,drivers/misc/mei/hw-me.c
drivers/staging/mei/interface.h,drivers/misc/mei/interface.h
drivers/staging/mei/interrupt.c,drivers/misc/mei/interrupt.c
drivers/staging/mei/iorw.c,drivers/misc/mei/iorw.c,drivers/misc/mei/client.c
drivers/staging/mei/main.c,drivers/misc/mei/main.c
drivers/staging/mei/mei-amt-version.c,drivers/misc/mei/mei-amt-version.c,Documentation/misc-devices/mei/mei-amt-version.c
drivers/staging/mei/mei.h,drivers/misc/mei/mei.h,include/linux/mei.h,include/uapi/linux/mei.h
drivers/staging/mei/mei.txt,drivers/misc/mei/mei.txt,Documentation/misc-devices/mei/mei.txt
drivers/staging/mei/mei_dev.h,drivers/misc/mei/mei_dev.h
drivers/staging/mei/wd.c,drivers/misc/mei/wd.c
arch/arm/mach-bcmring/include/cfg_global_defines.h,arch/arm/mach-bcmring/include/mach/cfg_global.h
arch/arm/mach-bcmring/include/csp/dmacHw.h,arch/arm/mach-bcmring/include/mach/csp/dmacHw.h
arch/arm/mach-bcmring/include/csp/reg.h,arch/arm/mach-bcmring/include/mach/csp/reg.h
arch/arm/mach-bcmring/include/csp/tmrHw.h,arch/arm/mach-bcmring/include/mach/csp/tmrHw.h
Documentation/devicetree/bindings/ata/calxeda-sata.txt,Documentation/devicetree/bindings/ata/ahci-platform.txt
Documentation/devicetree/bindings/arm/mrvl.txt,Documentation/devicetree/bindings/arm/mrvl/mrvl.txt
arch/ia64/include/asm/intr_remapping.h,arch/ia64/include/asm/irq_remapping.h
arch/x86/include/asm/intr_remapping.h,arch/x86/include/asm/irq_remapping.h
drivers/iommu/intr_remapping.c,drivers/iommu/irq_remapping.c
arch/x86/kernel/reboot_32.S,arch/x86/realmode/rm/reboot_32.S,arch/x86/realmode/rm/reboot.S
arch/x86/kernel/acpi/realmode/.gitignore,arch/x86/realmode/rm/wakeup/.gitignore
arch/x86/kernel/acpi/realmode/bioscall.S,arch/x86/realmode/rm/wakeup/bioscall.S
arch/x86/kernel/acpi/realmode/copy.S,arch/x86/realmode/rm/wakeup/copy.S
arch/x86/kernel/acpi/realmode/regs.c,arch/x86/realmode/rm/wakeup/regs.c
arch/x86/kernel/acpi/realmode/video-bios.c,arch/x86/realmode/rm/wakeup/video-bios.c
arch/x86/kernel/acpi/realmode/video-mode.c,arch/x86/realmode/rm/wakeup/video-mode.c
arch/x86/kernel/acpi/realmode/video-vesa.c,arch/x86/realmode/rm/wakeup/video-vesa.c
arch/x86/kernel/acpi/realmode/video-vga.c,arch/x86/realmode/rm/wakeup/video-vga.c
arch/x86/kernel/acpi/realmode/wakemain.c,arch/x86/realmode/rm/wakeup/wakemain.c,arch/x86/realmode/rm/wakemain.c
arch/x86/kernel/acpi/realmode/wakeup.h,arch/x86/realmode/rm/wakeup/wakeup.h,arch/x86/realmode/rm/wakeup.h
arch/x86/kernel/acpi/realmode/wakeup.S,arch/x86/realmode/rm/wakeup/wakeup_asm.S,arch/x86/realmode/rm/wakeup_asm.S
drivers/video/omap2/displays/panel-dvi.c,drivers/video/omap2/displays/panel-tfp410.c
include/video/omap-panel-dvi.h,include/video/omap-panel-tfp410.h
drivers/input/of_keymap.c,drivers/input/matrix-keymap.c
drivers/usb/gadget/ci13xxx_msm.c,drivers/usb/chipidea/ci13xxx_msm.c
drivers/usb/gadget/ci13xxx_pci.c,drivers/usb/chipidea/ci13xxx_pci.c
drivers/usb/gadget/ci13xxx_udc.c,drivers/usb/chipidea/ci13xxx_udc.c,drivers/usb/chipidea/udc.c
drivers/usb/gadget/ci13xxx_udc.h,drivers/usb/chipidea/ci13xxx_udc.h
arch/arm/plat-s3c24xx/irq-pm.c,arch/arm/mach-s3c24xx/irq-pm.c
arch/arm/plat-s3c24xx/pm.c,arch/arm/mach-s3c24xx/pm.c
arch/arm/plat-s3c24xx/sleep.S,arch/arm/mach-s3c24xx/sleep.S
drivers/i2c/muxes/pca9541.c,drivers/i2c/muxes/i2c-mux-pca9541.c
drivers/i2c/muxes/pca954x.c,drivers/i2c/muxes/i2c-mux-pca954x.c
Documentation/i2c/muxes/gpio-i2cmux,Documentation/i2c/muxes/i2c-mux-gpio
drivers/i2c/muxes/gpio-i2cmux.c,drivers/i2c/muxes/i2c-mux-gpio.c
include/linux/gpio-i2cmux.h,include/linux/i2c-mux-gpio.h
arch/arm/plat-s5p/clock.c,arch/arm/plat-samsung/s5p-clock.c
arch/arm/plat-s5p/irq-eint.c,arch/arm/plat-samsung/s5p-irq-eint.c
arch/arm/plat-s5p/irq-gpioint.c,arch/arm/plat-samsung/s5p-irq-gpioint.c
arch/arm/plat-s5p/irq.c,arch/arm/plat-samsung/s5p-irq.c
arch/arm/plat-s5p/irq-pm.c,arch/arm/plat-samsung/s5p-irq-pm.c
arch/arm/plat-s5p/pm.c,arch/arm/plat-samsung/s5p-pm.c
arch/arm/plat-s5p/s5p-time.c,arch/arm/plat-samsung/s5p-time.c,arch/arm/plat-samsung/samsung-time.c
arch/arm/plat-s5p/dev-uart.c,arch/arm/plat-samsung/s5p-dev-uart.c
arch/arm/plat-s5p/dev-mfc.c,arch/arm/plat-samsung/s5p-dev-mfc.c
arch/arm/plat-s5p/setup-mipiphy.c,arch/arm/plat-samsung/setup-mipiphy.c
arch/arm/mach-mxs/include/mach/mmc.h,include/linux/mmc/mxs-mmc.h
arch/mips/include/asm/mach-ath79/pci-ath724x.h,arch/mips/ath79/pci.h
arch/mips/pci/pci-ath724x.c,arch/mips/pci/pci-ar724x.c
drivers/char/ramoops.c,fs/pstore/ram.c
include/linux/ramoops.h,include/linux/pstore_ram.h
arch/x86/kernel/realmode.c,arch/x86/realmode/init.c
drivers/staging/android/persistent_ram.c,fs/pstore/ram_core.c
arch/x86/boot/compressed/relocs.c,arch/x86/tools/relocs.c
arch/sh/include/cpu-sh4/cpu/dma-sh4a.h,arch/sh/include/cpu-sh4a/cpu/dma.h
drivers/mtd/ubi/scan.c,drivers/mtd/ubi/attach.c
arch/mips/lantiq/xway/gpio_ebu.c,drivers/gpio/gpio-mm-lantiq.c
arch/mips/lantiq/xway/gpio_stp.c,drivers/gpio/gpio-stp-xway.c
sound/soc/omap/omap4-hdmi-card.c,sound/soc/omap/omap-hdmi-card.c
arch/tile/kernel/relocate_kernel.S,arch/tile/kernel/relocate_kernel_32.S
drivers/watchdog/watchdog_dev.h,drivers/watchdog/watchdog_core.h
arch/arm/mach-omap2/smartreflex.c,drivers/power/avs/smartreflex.c
fs/nls/nls_macceltic.c,fs/nls/mac-celtic.c
fs/nls/nls_maccenteuro.c,fs/nls/mac-centeuro.c
fs/nls/nls_maccroatian.c,fs/nls/mac-croatian.c
fs/nls/nls_maccyrillic.c,fs/nls/mac-cyrillic.c
fs/nls/nls_macgaelic.c,fs/nls/mac-gaelic.c
fs/nls/nls_macgreek.c,fs/nls/mac-greek.c
fs/nls/nls_maciceland.c,fs/nls/mac-iceland.c
fs/nls/nls_macinuit.c,fs/nls/mac-inuit.c
fs/nls/nls_macroman.c,fs/nls/mac-roman.c
fs/nls/nls_macromanian.c,fs/nls/mac-romanian.c
fs/nls/nls_macturkish.c,fs/nls/mac-turkish.c
drivers/staging/iio/dac/Kconfig,drivers/iio/dac/Kconfig
drivers/staging/iio/dac/Makefile,drivers/iio/dac/Makefile
drivers/staging/iio/dac/ad5064.c,drivers/iio/dac/ad5064.c
drivers/staging/iio/dac/ad5360.c,drivers/iio/dac/ad5360.c
drivers/staging/iio/dac/ad5380.c,drivers/iio/dac/ad5380.c
drivers/staging/iio/dac/ad5421.c,drivers/iio/dac/ad5421.c
drivers/staging/iio/dac/ad5446.c,drivers/iio/dac/ad5446.c
drivers/staging/iio/dac/ad5446.h,drivers/iio/dac/ad5446.h
drivers/staging/iio/dac/ad5504.c,drivers/iio/dac/ad5504.c
drivers/staging/iio/dac/ad5624r.h,drivers/iio/dac/ad5624r.h
drivers/staging/iio/dac/ad5624r_spi.c,drivers/iio/dac/ad5624r_spi.c
drivers/staging/iio/dac/ad5686.c,drivers/iio/dac/ad5686.c
drivers/staging/iio/dac/ad5764.c,drivers/iio/dac/ad5764.c
drivers/staging/iio/dac/ad5791.c,drivers/iio/dac/ad5791.c
drivers/staging/iio/dac/max517.c,drivers/iio/dac/max517.c
drivers/staging/iio/dac/ad5421.h,include/linux/iio/dac/ad5421.h
drivers/staging/iio/dac/ad5504.h,include/linux/iio/dac/ad5504.h
drivers/staging/iio/dac/ad5791.h,include/linux/iio/dac/ad5791.h
drivers/staging/iio/dac/max517.h,include/linux/iio/dac/max517.h
drivers/net/wireless/iwlwifi/iwl-2000.c,drivers/net/wireless/iwlwifi/pcie/2000.c,drivers/net/wireless/iwlwifi/iwl-2000.c
drivers/net/wireless/iwlwifi/iwl-5000.c,drivers/net/wireless/iwlwifi/pcie/5000.c,drivers/net/wireless/iwlwifi/iwl-5000.c
drivers/net/wireless/iwlwifi/iwl-6000.c,drivers/net/wireless/iwlwifi/pcie/6000.c,drivers/net/wireless/iwlwifi/iwl-6000.c
drivers/net/wireless/iwlwifi/iwl-pci.c,drivers/net/wireless/iwlwifi/pcie/drv.c
drivers/net/wireless/iwlwifi/iwl-agn.h,drivers/net/wireless/iwlwifi/dvm/agn.h
drivers/net/wireless/iwlwifi/iwl-debugfs.c,drivers/net/wireless/iwlwifi/dvm/debugfs.c
drivers/net/wireless/iwlwifi/iwl-agn-devices.c,drivers/net/wireless/iwlwifi/dvm/devices.c
drivers/net/wireless/iwlwifi/iwl-eeprom.c,drivers/net/wireless/iwlwifi/dvm/eeprom.c
drivers/net/wireless/iwlwifi/iwl-eeprom.h,drivers/net/wireless/iwlwifi/dvm/eeprom.h
drivers/net/wireless/iwlwifi/iwl-led.c,drivers/net/wireless/iwlwifi/dvm/led.c
drivers/net/wireless/iwlwifi/iwl-led.h,drivers/net/wireless/iwlwifi/dvm/led.h
drivers/net/wireless/iwlwifi/iwl-agn-lib.c,drivers/net/wireless/iwlwifi/dvm/lib.c
drivers/net/wireless/iwlwifi/iwl-mac80211.c,drivers/net/wireless/iwlwifi/dvm/mac80211.c
drivers/net/wireless/iwlwifi/iwl-power.c,drivers/net/wireless/iwlwifi/dvm/power.c
drivers/net/wireless/iwlwifi/iwl-power.h,drivers/net/wireless/iwlwifi/dvm/power.h
